DEPREG;MUPREG;MESREG;AÑOREG;DIAOCU;MESOCU;AÑOOCU;DEPOCU;MUPOCU;EDADHOM;EDADMUJ;PPERHOM;PPERMUJ;NACHOM;NACMUJ;ESCHOM;ESCMUJ;CIUOHOM;CIUOMUJ
5.0;0509;5.0;2021.0;1.0;2.0;2021.0;5.0;0509;29.0;25.0;4.0;4.0;320.0;320.0;4.0;4.0;01;23
1.0;0101;6.0;2022.0;23.0;8.0;2021.0;1.0;0101;36.0;37.0;4.0;4.0;320.0;320.0;5.0;5.0;01;01
11.0;1101;10.0;2021.0;11.0;10.0;2021.0;11.0;1101;34.0;31.0;4.0;4.0;320.0;320.0;5.0;4.0;01;23
1.0;0101;1.0;2022.0;29.0;11.0;2021.0;1.0;0101;48.0;33.0;4.0;9.0;320.0;320.0;5.0;4.0;01;41
15.0;1501;3.0;2021.0;28.0;1.0;2021.0;15.0;1501;44.0;28.0;4.0;4.0;320.0;320.0;5.0;4.0;01;97
17.0;1703;8.0;2021.0;13.0;7.0;2021.0;1.0;0101;39.0;27.0;4.0;4.0;320.0;320.0;5.0;5.0;01;31
12.0;1202;11.0;2021.0;2.0;8.0;2021.0;12.0;1202;45.0;40.0;4.0;4.0;320.0;320.0;9.0;4.0;01;97
1.0;0101;8.0;2021.0;9.0;7.0;2021.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;01;97
14.0;1420;12.0;2021.0;25.0;10.0;2021.0;14.0;1420;36.0;31.0;4.0;1.0;320.0;320.0;1.0;4.0;03;97
1.0;0101;5.0;2021.0;15.0;3.0;2021.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;1.0;1.0;03;97
16.0;1603;1.0;2022.0;23.0;8.0;2021.0;16.0;1603;27.0;27.0;1.0;1.0;320.0;320.0;2.0;2.0;03;97
9.0;0920;8.0;2021.0;12.0;4.0;2021.0;9.0;0920;31.0;32.0;4.0;4.0;320.0;320.0;3.0;4.0;03;97
22.0;2201;7.0;2021.0;24.0;6.0;2021.0;22.0;2201;32.0;29.0;4.0;9.0;320.0;320.0;3.0;3.0;03;51
1.0;0101;5.0;2021.0;26.0;3.0;2021.0;1.0;0101;999.0;42.0;9.0;9.0;320.0;720.0;4.0;9.0;03;97
6.0;0601;11.0;2021.0;29.0;10.0;2021.0;6.0;0611;38.0;30.0;4.0;4.0;320.0;320.0;4.0;4.0;03;54
1.0;0101;4.0;2022.0;15.0;11.0;2021.0;1.0;0106;58.0;56.0;4.0;9.0;320.0;320.0;5.0;1.0;03;99
1.0;0101;8.0;2021.0;16.0;7.0;2021.0;1.0;0101;41.0;34.0;4.0;4.0;320.0;320.0;5.0;4.0;03;97
