DEPREG;MUPREG;MESREG;AÑOREG;DIAOCU;MESOCU;DEPOCU;MUPOCU;EDADHOM;EDADMUJ;PUEHOM;PUEMUJ;NACHOM;NACMUJ;ESCHOM;ESCMUJ;CIUOHOM;CIUOMUJ
19.0;1901;7.0;2014.0;6.0;6.0;19.0;1901;999.0;999.0;9.0;9.0;76.0;320.0;9.0;9.0;34;NEOG
10.0;1001;4.0;2014.0;10.0;3.0;10.0;1001;999.0;999.0;9.0;9.0;76.0;320.0;9.0;9.0;IGNORADO;IGNORADO
1.0;0101;9.0;2014.0;4.0;8.0;3.0;0301;999.0;999.0;4.0;4.0;76.0;320.0;9.0;9.0;IGNORADO;IGNORADO
3.0;0309;1.0;2015.0;7.0;8.0;3.0;0309;30.0;27.0;9.0;9.0;124.0;320.0;1.0;1.0;52;NEOG
10.0;1001;5.0;2014.0;4.0;4.0;10.0;1001;999.0;999.0;9.0;9.0;156.0;320.0;9.0;9.0;52;NEOG
1.0;0101;5.0;2015.0;5.0;12.0;1.0;0101;48.0;999.0;4.0;9.0;156.0;320.0;4.0;1.0;52;51
18.0;1801;10.0;2014.0;11.0;9.0;18.0;1801;999.0;999.0;9.0;9.0;188.0;320.0;9.0;9.0;IGNORADO;NEOG
1.0;0101;10.0;2014.0;17.0;6.0;1.0;0101;36.0;37.0;4.0;4.0;188.0;320.0;5.0;5.0;21;21
18.0;1801;12.0;2014.0;17.0;10.0;18.0;1801;999.0;999.0;9.0;9.0;192.0;320.0;9.0;9.0;34;IGNORADO
8.0;0801;9.0;2014.0;21.0;7.0;1.0;0101;29.0;36.0;9.0;4.0;192.0;320.0;1.0;5.0;NEOG;22
1.0;0101;6.0;2014.0;13.0;2.0;1.0;0101;48.0;38.0;9.0;9.0;192.0;320.0;1.0;1.0;IGNORADO;IGNORADO
10.0;1001;8.0;2014.0;26.0;5.0;1.0;0101;999.0;999.0;9.0;9.0;192.0;320.0;9.0;9.0;IGNORADO;IGNORADO
1.0;0101;5.0;2015.0;17.0;9.0;1.0;0101;999.0;999.0;9.0;9.0;192.0;320.0;9.0;9.0;26;52
1.0;0101;1.0;2015.0;4.0;9.0;1.0;0101;42.0;34.0;9.0;4.0;208.0;320.0;1.0;5.0;52;52
1.0;0101;9.0;2014.0;14.0;8.0;1.0;0101;999.0;999.0;9.0;9.0;212.0;320.0;9.0;9.0;21;34
1.0;0101;3.0;2014.0;7.0;2.0;1.0;0101;45.0;39.0;9.0;4.0;214.0;320.0;1.0;5.0;52;12
1.0;0101;8.0;2014.0;24.0;4.0;1.0;0101;44.0;999.0;9.0;9.0;218.0;320.0;1.0;9.0;IGNORADO;IGNORADO
1.0;0101;5.0;2015.0;6.0;11.0;1.0;0101;30.0;30.0;9.0;4.0;218.0;320.0;1.0;4.0;IGNORADO;NEOG
1.0;0101;12.0;2014.0;6.0;10.0;3.0;0301;37.0;27.0;9.0;4.0;222.0;320.0;1.0;5.0;21;NEOG
1.0;0101;7.0;2014.0;6.0;6.0;1.0;0101;34.0;33.0;9.0;4.0;222.0;320.0;1.0;5.0;22;21
1.0;0101;5.0;2014.0;5.0;3.0;1.0;0101;42.0;999.0;9.0;9.0;222.0;320.0;1.0;9.0;NEOG;NEOG
1.0;0101;9.0;2014.0;7.0;7.0;1.0;0113;999.0;999.0;9.0;9.0;222.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;6.0;2014.0;24.0;3.0;1.0;0101;61.0;48.0;9.0;9.0;222.0;320.0;9.0;5.0;NEOG;NEOG
1.0;0101;5.0;2014.0;9.0;4.0;3.0;0303;999.0;999.0;9.0;9.0;222.0;320.0;9.0;1.0;IGNORADO;IGNORADO
22.0;2201;9.0;2014.0;28.0;7.0;22.0;2201;999.0;999.0;9.0;9.0;222.0;320.0;9.0;9.0;IGNORADO;IGNORADO
1.0;0101;12.0;2014.0;1.0;10.0;1.0;0101;999.0;999.0;9.0;9.0;276.0;320.0;9.0;9.0;IGNORADO;IGNORADO
1.0;0101;2.0;2014.0;20.0;1.0;1.0;0101;80.0;999.0;9.0;9.0;276.0;320.0;9.0;9.0;NEOG;41
1.0;0101;1.0;2015.0;14.0;10.0;1.0;0101;999.0;999.0;9.0;9.0;276.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;1.0;2015.0;10.0;12.0;1.0;0101;999.0;999.0;9.0;9.0;276.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0115;11.0;2014.0;23.0;7.0;1.0;0115;34.0;999.0;1.0;9.0;320.0;320.0;3.0;9.0;12;NEOG
9.0;0920;10.0;2014.0;1.0;8.0;9.0;0920;23.0;26.0;4.0;4.0;320.0;320.0;3.0;3.0;12;NEOG
