depreg;mupreg;mesreg;añoreg;diaocu;mesocu;añoocu;depocu;mupocu;edadhom;edadmuj;grethom;gretmuj;nachom;nacmuj;escohom;escomuj;ocupahom;ocupamuj
9.0;0901;7.0;2011.0;21.0;2.0;2011.0;9.0;0901;44.0;14.0;9.0;9.0;320.0;320.0;9.0;9.0;2212.0;9999.0
1.0;0101;8.0;2011.0;7.0;4.0;2011.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;40.0;9.0;9.0;2142.0;2351.0
1.0;0101;10.0;2011.0;5.0;9.0;2011.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;68.0;9.0;9.0;2611.0;2642.0
18.0;1801;8.0;2011.0;6.0;7.0;2011.0;18.0;1801;999.0;999.0;9.0;9.0;320.0;124.0;9.0;9.0;9211.0;9999.0
1.0;0101;11.0;2011.0;29.0;7.0;2011.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;124.0;9.0;9.0;9999.0;9999.0
1.0;0101;2.0;2012.0;27.0;12.0;2011.0;1.0;0101;36.0;37.0;9.0;2.0;222.0;170.0;1.0;4.0;3153.0;9712.0
1.0;0101;9.0;2011.0;1.0;4.0;2011.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;170.0;9.0;9.0;9999.0;9999.0
1.0;0101;7.0;2011.0;14.0;4.0;2011.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;170.0;9.0;9.0;2652.0;9711.0
1.0;0101;6.0;2012.0;25.0;8.0;2011.0;1.0;0101;23.0;29.0;2.0;9.0;320.0;170.0;5.0;9.0;2421.0;5249.0
1.0;0108;6.0;2012.0;14.0;9.0;2011.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;170.0;9.0;9.0;2211.0;9998.0
1.0;0101;11.0;2011.0;4.0;2.0;2011.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;188.0;1.0;1.0;9999.0;9999.0
21.0;2101;11.0;2011.0;4.0;10.0;2011.0;21.0;2101;999.0;999.0;9.0;9.0;320.0;188.0;9.0;9.0;2341.0;9712.0
1.0;0101;8.0;2011.0;27.0;6.0;2011.0;1.0;0108;999.0;999.0;9.0;9.0;840.0;188.0;9.0;9.0;9712.0;9712.0
1.0;0101;5.0;2011.0;25.0;3.0;2011.0;1.0;0101;29.0;32.0;9.0;9.0;320.0;192.0;1.0;1.0;9999.0;9999.0
1.0;0101;4.0;2012.0;25.0;11.0;2011.0;1.0;0101;30.0;29.0;9.0;9.0;320.0;218.0;9.0;9.0;9999.0;9999.0
1.0;0101;7.0;2011.0;25.0;5.0;2011.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;218.0;9.0;9.0;9999.0;9999.0
3.0;0301;9.0;2011.0;12.0;4.0;2011.0;1.0;0101;35.0;24.0;2.0;2.0;320.0;218.0;9.0;9.0;9999.0;9999.0
1.0;0115;9.0;2011.0;15.0;8.0;2011.0;1.0;0115;25.0;23.0;2.0;2.0;320.0;222.0;9.0;9.0;9712.0;9711.0
1.0;0101;3.0;2012.0;4.0;10.0;2011.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;222.0;9.0;9.0;9712.0;9712.0
1.0;0115;9.0;2011.0;14.0;4.0;2011.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;222.0;9.0;9.0;9712.0;9999.0
18.0;1804;7.0;2011.0;31.0;5.0;2011.0;18.0;1801;999.0;999.0;9.0;9.0;320.0;222.0;9.0;9.0;9999.0;9999.0
1.0;0101;11.0;2011.0;8.0;7.0;2011.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;222.0;9.0;9.0;9712.0;7531.0
22.0;2201;2.0;2011.0;25.0;1.0;2011.0;22.0;2201;999.0;999.0;9.0;9.0;320.0;222.0;9.0;9.0;6111.0;9999.0
1.0;0101;4.0;2012.0;26.0;8.0;2011.0;16.0;1601;999.0;999.0;9.0;9.0;320.0;222.0;9.0;9.0;9999.0;9999.0
6.0;0608;6.0;2011.0;6.0;6.0;2011.0;6.0;0601;999.0;999.0;9.0;9.0;320.0;222.0;9.0;9.0;9999.0;9999.0
1.0;0101;12.0;2011.0;19.0;5.0;2011.0;1.0;0101;999.0;999.0;9.0;2.0;320.0;222.0;9.0;9.0;9999.0;9999.0
22.0;2203;7.0;2011.0;19.0;5.0;2011.0;1.0;0101;999.0;999.0;9.0;2.0;320.0;222.0;9.0;9.0;9999.0;9999.0
1.0;0101;12.0;2011.0;4.0;11.0;2011.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;222.0;9.0;9.0;5221.0;2261.0
1.0;0101;10.0;2011.0;12.0;8.0;2011.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;222.0;9.0;9.0;2142.0;4120.0
1.0;0101;7.0;2011.0;24.0;6.0;2011.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;276.0;9.0;9.0;5221.0;2631.0
1.0;0101;9.0;2011.0;20.0;7.0;2011.0;1.0;0101;999.0;999.0;9.0;9.0;9999.0;276.0;1.0;9.0;7231.0;7231.0
1.0;0101;9.0;2011.0;25.0;7.0;2011.0;1.0;0101;999.0;999.0;9.0;9.0;1020.0;276.0;9.0;9.0;5221.0;2643.0
18.0;1801;1.0;2012.0;27.0;10.0;2011.0;18.0;1801;999.0;999.0;9.0;9.0;32.0;320.0;9.0;9.0;5221.0;9999.0
1.0;0101;10.0;2011.0;8.0;9.0;2011.0;1.0;0101;999.0;999.0;9.0;9.0;32.0;320.0;9.0;9.0;9999.0;9999.0
15.0;1507;10.0;2011.0;31.0;7.0;2011.0;15.0;1507;999.0;999.0;9.0;9.0;68.0;320.0;9.0;1.0;9999.0;9999.0
4.0;0401;6.0;2011.0;24.0;5.0;2011.0;4.0;0401;999.0;999.0;9.0;9.0;124.0;320.0;9.0;9.0;9999.0;9999.0
10.0;1001;11.0;2011.0;10.0;10.0;2011.0;10.0;1001;999.0;999.0;9.0;9.0;156.0;320.0;9.0;9.0;9998.0;2341.0
6.0;0611;1.0;2012.0;12.0;9.0;2011.0;6.0;0601;56.0;20.0;2.0;2.0;156.0;320.0;4.0;2.0;5221.0;9999.0
1.0;0101;9.0;2011.0;24.0;8.0;2011.0;1.0;0101;50.0;52.0;2.0;2.0;170.0;320.0;5.0;5.0;5221.0;1411.0
1.0;0101;10.0;2011.0;8.0;9.0;2011.0;1.0;0101;999.0;999.0;9.0;9.0;170.0;320.0;9.0;9.0;9712.0;9712.0
1.0;0101;7.0;2011.0;25.0;4.0;2011.0;1.0;0101;999.0;999.0;9.0;9.0;170.0;320.0;9.0;9.0;2431.0;9712.0
1.0;0101;4.0;2011.0;7.0;3.0;2011.0;1.0;0101;999.0;999.0;9.0;9.0;188.0;320.0;1.0;1.0;9999.0;9999.0
1.0;0101;10.0;2011.0;4.0;7.0;2011.0;1.0;0108;31.0;25.0;9.0;9.0;188.0;320.0;1.0;1.0;5249.0;9712.0
1.0;0101;9.0;2011.0;7.0;7.0;2011.0;1.0;0101;39.0;31.0;9.0;9.0;188.0;320.0;1.0;1.0;9712.0;9712.0
1.0;0106;2.0;2012.0;29.0;8.0;2011.0;1.0;0101;999.0;54.0;9.0;2.0;192.0;320.0;9.0;1.0;9999.0;9711.0
1.0;0101;11.0;2011.0;5.0;10.0;2011.0;1.0;0101;999.0;999.0;9.0;9.0;192.0;320.0;9.0;9.0;2411.0;9712.0
1.0;0101;8.0;2011.0;20.0;7.0;2011.0;1.0;0101;48.0;45.0;2.0;2.0;192.0;320.0;9.0;9.0;9712.0;9712.0
13.0;1327;4.0;2011.0;14.0;3.0;2011.0;13.0;1327;41.0;34.0;9.0;9.0;192.0;320.0;1.0;4.0;2211.0;9712.0
19.0;1901;10.0;2011.0;18.0;8.0;2011.0;19.0;1901;39.0;29.0;2.0;2.0;192.0;320.0;5.0;9.0;2211.0;9712.0
1.0;0101;11.0;2011.0;16.0;8.0;2011.0;1.0;0101;31.0;36.0;9.0;9.0;192.0;320.0;1.0;1.0;5221.0;2431.0
9.0;0901;12.0;2011.0;28.0;11.0;2011.0;9.0;0901;999.0;999.0;9.0;9.0;192.0;320.0;9.0;9.0;9999.0;9999.0
1.0;0101;11.0;2011.0;18.0;8.0;2011.0;10.0;1001;999.0;999.0;9.0;9.0;192.0;320.0;1.0;9.0;9999.0;9999.0
15.0;1501;3.0;2011.0;1.0;2.0;2011.0;15.0;1501;999.0;29.0;9.0;2.0;192.0;320.0;1.0;4.0;9712.0;3314.0
1.0;0101;5.0;2011.0;24.0;3.0;2011.0;1.0;0101;999.0;45.0;9.0;9.0;222.0;320.0;9.0;9.0;9999.0;9999.0
1.0;0101;4.0;2011.0;10.0;3.0;2011.0;1.0;0101;999.0;41.0;9.0;9.0;222.0;320.0;9.0;1.0;6111.0;9711.0
1.0;0101;12.0;2011.0;21.0;10.0;2011.0;1.0;0101;999.0;999.0;9.0;9.0;222.0;320.0;9.0;9.0;9712.0;9712.0
1.0;0101;10.0;2011.0;24.0;5.0;2011.0;1.0;0101;34.0;34.0;9.0;9.0;222.0;320.0;1.0;1.0;9712.0;9712.0
1.0;0115;11.0;2011.0;21.0;9.0;2011.0;1.0;0115;27.0;27.0;9.0;9.0;222.0;320.0;1.0;1.0;9712.0;9712.0
