DEPREG;MUPREG;MESREG;AÑOREG;DIAOCU;MESOCU;AÑOOCU;DEPOCU;MUPOCU;EDADHOM;EDADMUJ;PPERHOM;PPERMUJ;NACHOM;NACMUJ;ESCHOM;ESCMUJ;CIUOHOM;CIUOMUJ
6.0;0606;12.0;2020.0;19.0;11.0;2020.0;6.0;0614;19.0;23.0;4.0;4.0;320.0;320.0;2.0;2.0;92.0;97.0
7.0;0704;2.0;2020.0;3.0;2.0;2020.0;7.0;0704;20.0;20.0;1.0;9.0;320.0;320.0;4.0;4.0;72.0;34.0
9.0;0916;9.0;2020.0;21.0;9.0;2020.0;9.0;0916;20.0;20.0;1.0;1.0;320.0;320.0;4.0;3.0;74.0;97.0
8.0;0801;3.0;2021.0;18.0;11.0;2020.0;8.0;0801;20.0;21.0;1.0;1.0;320.0;320.0;3.0;3.0;75.0;52.0
19.0;1909;11.0;2020.0;9.0;11.0;2020.0;19.0;1909;20.0;22.0;4.0;4.0;320.0;320.0;2.0;2.0;92.0;97.0
9.0;0920;6.0;2021.0;12.0;10.0;2020.0;9.0;0922;20.0;23.0;4.0;4.0;320.0;320.0;9.0;4.0;42.0;97.0
20.0;2011;10.0;2020.0;6.0;3.0;2020.0;20.0;2006;21.0;20.0;4.0;4.0;320.0;320.0;2.0;2.0;92.0;52.0
14.0;1413;2.0;2020.0;27.0;1.0;2020.0;14.0;1405;21.0;21.0;1.0;1.0;320.0;320.0;3.0;3.0;73.0;97.0
8.0;0801;11.0;2020.0;21.0;10.0;2020.0;8.0;0801;21.0;21.0;4.0;4.0;320.0;320.0;4.0;4.0;97.0;97.0
9.0;0901;2.0;2020.0;4.0;2.0;2020.0;9.0;0903;21.0;22.0;9.0;9.0;320.0;320.0;3.0;3.0;52.0;97.0
14.0;1406;6.0;2021.0;4.0;12.0;2020.0;14.0;1406;21.0;22.0;5.0;1.0;320.0;320.0;4.0;3.0;94.0;97.0
8.0;0804;11.0;2020.0;20.0;11.0;2020.0;9.0;0901;21.0;24.0;1.0;1.0;320.0;320.0;4.0;4.0;51.0;33.0
16.0;1610;2.0;2021.0;16.0;3.0;2020.0;16.0;1610;21.0;24.0;1.0;1.0;320.0;320.0;2.0;1.0;92.0;97.0
5.0;0501;9.0;2020.0;5.0;2.0;2020.0;5.0;0501;21.0;39.0;9.0;4.0;320.0;320.0;4.0;3.0;97.0;97.0
1.0;0101;2.0;2021.0;29.0;12.0;2020.0;1.0;0101;21.0;44.0;4.0;4.0;320.0;320.0;4.0;4.0;97.0;97.0
17.0;1710;7.0;2020.0;3.0;2.0;2020.0;17.0;1710;22.0;21.0;4.0;4.0;320.0;320.0;2.0;2.0;92.0;97.0
17.0;1703;2.0;2021.0;25.0;11.0;2020.0;17.0;1703;22.0;21.0;4.0;4.0;320.0;320.0;4.0;3.0;97.0;97.0
9.0;0901;2.0;2020.0;12.0;2.0;2020.0;8.0;0801;22.0;22.0;1.0;1.0;320.0;320.0;3.0;3.0;52.0;97.0
16.0;1609;10.0;2020.0;3.0;9.0;2020.0;16.0;1609;22.0;22.0;1.0;9.0;320.0;320.0;3.0;3.0;97.0;97.0
12.0;1218;3.0;2020.0;17.0;2.0;2020.0;12.0;1218;22.0;23.0;4.0;4.0;320.0;320.0;3.0;3.0;92.0;97.0
21.0;2101;9.0;2020.0;13.0;2.0;2020.0;21.0;2101;22.0;23.0;4.0;4.0;320.0;320.0;4.0;4.0;97.0;97.0
11.0;1101;9.0;2020.0;2.0;9.0;2020.0;11.0;1108;22.0;23.0;4.0;4.0;320.0;320.0;4.0;4.0;97.0;97.0
4.0;0401;11.0;2020.0;14.0;10.0;2020.0;4.0;0401;22.0;24.0;9.0;5.0;320.0;320.0;4.0;4.0;97.0;97.0
4.0;0401;12.0;2020.0;6.0;10.0;2020.0;4.0;0401;22.0;25.0;5.0;4.0;320.0;320.0;4.0;4.0;97.0;97.0
1.0;0115;7.0;2020.0;13.0;3.0;2020.0;1.0;0115;22.0;26.0;5.0;4.0;320.0;320.0;4.0;3.0;93.0;97.0
4.0;0401;11.0;2020.0;27.0;2.0;2020.0;4.0;0401;22.0;26.0;1.0;4.0;320.0;320.0;3.0;4.0;97.0;41.0
1.0;0101;10.0;2020.0;30.0;9.0;2020.0;1.0;0101;22.0;26.0;4.0;1.0;320.0;320.0;4.0;4.0;97.0;97.0
9.0;0901;1.0;2021.0;30.0;12.0;2020.0;12.0;1229;22.0;27.0;4.0;1.0;320.0;320.0;2.0;4.0;92.0;23.0
4.0;0401;11.0;2020.0;7.0;10.0;2020.0;4.0;0401;22.0;31.0;5.0;1.0;320.0;320.0;4.0;2.0;43.0;97.0
9.0;0914;3.0;2021.0;23.0;10.0;2020.0;9.0;0901;22.0;37.0;4.0;1.0;320.0;320.0;3.0;4.0;72.0;52.0
1.0;0101;9.0;2020.0;3.0;3.0;2020.0;1.0;0102;23.0;20.0;4.0;4.0;320.0;320.0;4.0;2.0;31.0;97.0
9.0;0901;11.0;2020.0;16.0;11.0;2020.0;8.0;0801;23.0;20.0;4.0;1.0;320.0;320.0;3.0;3.0;75.0;97.0
