DEPREG;MUPREG;MESREG;AÑOREG;DIAOCU;MESOCU;AÑOOCU;DEPOCU;MUPOCU;EDADHOM;EDADMUJ;PPERHOM;PPERMUJ;NACHOM;NACMUJ;ESCHOM;ESCMUJ;CIUOHOM;CIUOMUJ
16.0;1601;10.0;2019.0;5.0;6.0;2019.0;16.0;1601;50.0;999.0;4.0;4.0;320.0;320.0;5.0;9.0;97.0;1.0
1.0;0108;6.0;2019.0;28.0;5.0;2019.0;1.0;0101;48.0;47.0;4.0;4.0;320.0;320.0;5.0;5.0;12.0;11.0
1.0;0101;11.0;2019.0;24.0;10.0;2019.0;1.0;0116;57.0;55.0;4.0;4.0;320.0;320.0;5.0;5.0;21.0;11.0
1.0;0101;11.0;2019.0;14.0;10.0;2019.0;1.0;0101;42.0;39.0;4.0;4.0;320.0;320.0;5.0;5.0;21.0;11.0
1.0;0101;11.0;2019.0;26.0;7.0;2019.0;1.0;0108;54.0;31.0;4.0;4.0;320.0;320.0;5.0;5.0;24.0;11.0
1.0;0106;8.0;2019.0;11.0;6.0;2019.0;1.0;0101;36.0;36.0;4.0;4.0;320.0;320.0;5.0;5.0;24.0;11.0
1.0;0101;3.0;2019.0;20.0;2.0;2019.0;1.0;0108;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;75.0;11.0
1.0;0101;3.0;2019.0;14.0;1.0;2019.0;1.0;0101;27.0;27.0;4.0;4.0;320.0;320.0;5.0;9.0;12.0;12.0
1.0;0101;5.0;2019.0;22.0;3.0;2019.0;1.0;0101;36.0;27.0;4.0;9.0;320.0;320.0;5.0;9.0;12.0;12.0
1.0;0101;3.0;2019.0;13.0;3.0;2019.0;1.0;0108;48.0;41.0;4.0;4.0;320.0;320.0;5.0;5.0;21.0;12.0
9.0;0901;4.0;2019.0;4.0;1.0;2019.0;1.0;0101;60.0;56.0;5.0;4.0;320.0;320.0;5.0;9.0;21.0;12.0
1.0;0101;4.0;2019.0;15.0;2.0;2019.0;1.0;0103;43.0;40.0;4.0;4.0;320.0;320.0;5.0;9.0;21.0;12.0
1.0;0106;9.0;2019.0;19.0;8.0;2019.0;1.0;0101;43.0;41.0;4.0;4.0;320.0;320.0;6.0;5.0;21.0;12.0
1.0;0101;1.0;2020.0;30.0;8.0;2019.0;1.0;0101;38.0;36.0;9.0;4.0;188.0;320.0;9.0;5.0;21.0;12.0
1.0;0101;9.0;2019.0;7.0;2.0;2019.0;1.0;0101;45.0;35.0;4.0;4.0;320.0;320.0;9.0;5.0;22.0;12.0
1.0;0103;5.0;2019.0;5.0;4.0;2019.0;1.0;0101;37.0;38.0;4.0;4.0;320.0;320.0;5.0;5.0;24.0;12.0
1.0;0101;6.0;2019.0;18.0;2.0;2019.0;1.0;0101;32.0;31.0;4.0;4.0;320.0;320.0;5.0;9.0;24.0;12.0
1.0;0101;2.0;2019.0;15.0;1.0;2019.0;1.0;0101;999.0;999.0;9.0;9.0;862.0;320.0;9.0;9.0;26.0;12.0
1.0;0101;9.0;2019.0;21.0;8.0;2019.0;1.0;0101;39.0;39.0;4.0;4.0;320.0;320.0;9.0;5.0;26.0;12.0
1.0;0101;8.0;2019.0;23.0;7.0;2019.0;1.0;0101;36.0;37.0;4.0;4.0;320.0;320.0;4.0;5.0;35.0;12.0
1.0;0101;3.0;2019.0;4.0;2.0;2019.0;1.0;0115;34.0;44.0;4.0;4.0;320.0;320.0;4.0;5.0;35.0;12.0
5.0;0509;1.0;2020.0;2.0;9.0;2019.0;5.0;0502;38.0;35.0;4.0;4.0;320.0;320.0;9.0;9.0;43.0;12.0
1.0;0101;1.0;2020.0;18.0;11.0;2019.0;3.0;0308;32.0;42.0;4.0;4.0;320.0;320.0;4.0;9.0;52.0;12.0
3.0;0301;5.0;2019.0;15.0;4.0;2019.0;3.0;0301;38.0;37.0;4.0;4.0;320.0;320.0;5.0;5.0;52.0;12.0
9.0;0920;2.0;2020.0;5.0;12.0;2019.0;9.0;0920;30.0;27.0;4.0;4.0;320.0;320.0;4.0;9.0;97.0;12.0
12.0;1201;10.0;2019.0;25.0;9.0;2019.0;9.0;0901;32.0;33.0;4.0;4.0;320.0;320.0;5.0;5.0;97.0;12.0
16.0;1601;12.0;2019.0;2.0;10.0;2019.0;16.0;1601;35.0;32.0;4.0;1.0;320.0;320.0;5.0;5.0;97.0;12.0
1.0;0101;12.0;2019.0;6.0;11.0;2019.0;1.0;0101;36.0;37.0;4.0;4.0;320.0;320.0;5.0;9.0;97.0;12.0
1.0;0107;1.0;2020.0;12.0;12.0;2019.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;97.0;14.0
1.0;0113;1.0;2020.0;12.0;7.0;2019.0;1.0;0101;33.0;35.0;4.0;4.0;320.0;320.0;5.0;5.0;12.0;21.0
1.0;0101;11.0;2019.0;30.0;10.0;2019.0;7.0;0711;37.0;38.0;4.0;4.0;320.0;320.0;5.0;5.0;12.0;21.0
1.0;0112;1.0;2020.0;6.0;6.0;2019.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;12.0;21.0
1.0;0101;2.0;2020.0;10.0;10.0;2019.0;1.0;0101;38.0;37.0;4.0;9.0;320.0;320.0;9.0;9.0;12.0;21.0
1.0;0115;9.0;2019.0;5.0;8.0;2019.0;1.0;0115;35.0;35.0;4.0;4.0;320.0;320.0;5.0;5.0;21.0;21.0
1.0;0101;2.0;2020.0;15.0;11.0;2019.0;1.0;0101;37.0;39.0;4.0;4.0;320.0;720.0;5.0;5.0;21.0;21.0
1.0;0106;9.0;2019.0;21.0;5.0;2019.0;10.0;1001;34.0;35.0;4.0;9.0;320.0;222.0;5.0;5.0;21.0;21.0
1.0;0101;8.0;2019.0;1.0;8.0;2019.0;1.0;0101;30.0;31.0;4.0;4.0;320.0;320.0;5.0;5.0;21.0;21.0
1.0;0101;5.0;2019.0;15.0;2.0;2019.0;3.0;0306;47.0;45.0;4.0;4.0;320.0;320.0;5.0;5.0;21.0;21.0
1.0;0101;5.0;2019.0;3.0;4.0;2019.0;1.0;0114;31.0;29.0;4.0;4.0;320.0;320.0;5.0;5.0;21.0;21.0
1.0;0101;2.0;2020.0;6.0;11.0;2019.0;9.0;0901;37.0;32.0;4.0;4.0;320.0;320.0;5.0;5.0;21.0;21.0
1.0;0101;7.0;2019.0;19.0;6.0;2019.0;1.0;0101;33.0;32.0;4.0;9.0;320.0;320.0;5.0;5.0;21.0;21.0
1.0;0101;6.0;2019.0;21.0;2.0;2019.0;1.0;0101;33.0;33.0;4.0;4.0;320.0;320.0;5.0;5.0;21.0;21.0
1.0;0113;11.0;2019.0;18.0;11.0;2019.0;1.0;0101;35.0;33.0;4.0;5.0;320.0;320.0;5.0;5.0;21.0;21.0
1.0;0106;6.0;2019.0;10.0;4.0;2019.0;1.0;0108;36.0;33.0;4.0;4.0;320.0;320.0;5.0;5.0;21.0;21.0
1.0;0101;6.0;2019.0;12.0;4.0;2019.0;3.0;0312;36.0;36.0;9.0;4.0;320.0;320.0;5.0;6.0;21.0;21.0
1.0;0101;8.0;2019.0;1.0;8.0;2019.0;1.0;0108;41.0;37.0;4.0;4.0;320.0;320.0;5.0;5.0;21.0;21.0
1.0;0101;4.0;2019.0;4.0;2.0;2019.0;1.0;0101;33.0;30.0;4.0;9.0;320.0;214.0;6.0;5.0;21.0;21.0
1.0;0101;6.0;2019.0;27.0;5.0;2019.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;21.0;21.0
1.0;0101;6.0;2019.0;12.0;6.0;2019.0;1.0;0101;34.0;35.0;4.0;4.0;320.0;320.0;9.0;5.0;21.0;21.0
1.0;0106;9.0;2019.0;27.0;6.0;2019.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;21.0;21.0
1.0;0101;5.0;2019.0;7.0;5.0;2019.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;21.0;21.0
1.0;0101;11.0;2019.0;21.0;5.0;2019.0;1.0;0101;33.0;33.0;4.0;4.0;320.0;320.0;5.0;5.0;22.0;21.0
3.0;0308;7.0;2019.0;11.0;4.0;2019.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;22.0;21.0
1.0;0101;9.0;2019.0;23.0;5.0;2019.0;1.0;0101;41.0;37.0;4.0;4.0;320.0;320.0;5.0;5.0;24.0;21.0
16.0;1601;9.0;2019.0;22.0;7.0;2019.0;4.0;0401;39.0;39.0;4.0;4.0;320.0;320.0;5.0;5.0;24.0;21.0
1.0;0115;4.0;2019.0;29.0;3.0;2019.0;1.0;0101;34.0;46.0;4.0;4.0;320.0;320.0;5.0;5.0;24.0;21.0
10.0;1001;12.0;2019.0;2.0;12.0;2019.0;10.0;1001;37.0;40.0;4.0;4.0;320.0;320.0;5.0;5.0;26.0;21.0
9.0;0901;3.0;2019.0;19.0;2.0;2019.0;9.0;0916;32.0;32.0;4.0;1.0;320.0;320.0;4.0;5.0;31.0;21.0
1.0;0101;11.0;2019.0;4.0;9.0;2019.0;1.0;0101;33.0;34.0;4.0;4.0;320.0;320.0;5.0;5.0;31.0;21.0
1.0;0109;11.0;2019.0;4.0;4.0;2019.0;1.0;0101;47.0;999.0;4.0;9.0;320.0;320.0;4.0;9.0;33.0;21.0
1.0;0102;7.0;2019.0;9.0;7.0;2019.0;1.0;0106;32.0;33.0;4.0;4.0;320.0;320.0;4.0;5.0;34.0;21.0
1.0;0101;5.0;2019.0;3.0;4.0;2019.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;34.0;21.0
1.0;0101;4.0;2019.0;12.0;3.0;2019.0;1.0;0101;41.0;39.0;9.0;4.0;320.0;320.0;9.0;5.0;35.0;21.0
1.0;0101;8.0;2019.0;25.0;7.0;2019.0;1.0;0108;40.0;38.0;4.0;4.0;320.0;320.0;4.0;5.0;52.0;21.0
18.0;1801;8.0;2019.0;7.0;8.0;2019.0;18.0;1801;44.0;39.0;4.0;4.0;320.0;1026.0;5.0;9.0;52.0;21.0
16.0;1601;9.0;2019.0;28.0;8.0;2019.0;16.0;1601;43.0;32.0;4.0;4.0;320.0;320.0;4.0;5.0;71.0;21.0
1.0;0101;5.0;2019.0;3.0;5.0;2019.0;1.0;0101;44.0;32.0;4.0;4.0;320.0;320.0;4.0;5.0;73.0;21.0
19.0;1905;11.0;2019.0;6.0;9.0;2019.0;19.0;1905;24.0;34.0;4.0;4.0;320.0;320.0;3.0;5.0;83.0;21.0
1.0;0109;10.0;2019.0;30.0;8.0;2019.0;1.0;0101;44.0;44.0;9.0;4.0;320.0;320.0;1.0;5.0;97.0;21.0
1.0;0101;12.0;2019.0;29.0;10.0;2019.0;1.0;0101;37.0;33.0;4.0;4.0;320.0;320.0;4.0;5.0;97.0;21.0
1.0;0101;11.0;2019.0;5.0;11.0;2019.0;1.0;0101;43.0;40.0;4.0;4.0;320.0;320.0;5.0;9.0;97.0;21.0
1.0;0101;4.0;2019.0;22.0;2.0;2019.0;1.0;0101;35.0;34.0;4.0;4.0;320.0;320.0;5.0;5.0;97.0;21.0
1.0;0101;2.0;2020.0;22.0;10.0;2019.0;1.0;0101;38.0;41.0;4.0;4.0;320.0;320.0;5.0;9.0;97.0;21.0
1.0;0101;7.0;2019.0;14.0;5.0;2019.0;1.0;0101;35.0;38.0;4.0;4.0;320.0;320.0;5.0;5.0;97.0;21.0
1.0;0101;1.0;2020.0;28.0;11.0;2019.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;97.0;21.0
21.0;2101;9.0;2019.0;13.0;6.0;2019.0;21.0;2101;35.0;36.0;9.0;9.0;320.0;484.0;9.0;5.0;97.0;21.0
1.0;0101;5.0;2019.0;28.0;2.0;2019.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;97.0;21.0
20.0;2001;9.0;2019.0;7.0;3.0;2019.0;20.0;2004;40.0;36.0;4.0;4.0;320.0;320.0;9.0;9.0;97.0;21.0
1.0;0101;11.0;2019.0;26.0;8.0;2019.0;1.0;0101;39.0;37.0;4.0;4.0;320.0;320.0;9.0;5.0;12.0;22.0
21.0;2101;4.0;2019.0;22.0;2.0;2019.0;21.0;2101;36.0;37.0;4.0;4.0;320.0;320.0;5.0;5.0;21.0;22.0
1.0;0101;6.0;2019.0;9.0;5.0;2019.0;1.0;0102;52.0;51.0;4.0;4.0;320.0;320.0;5.0;5.0;21.0;22.0
1.0;0101;12.0;2019.0;15.0;10.0;2019.0;1.0;0101;33.0;34.0;4.0;4.0;320.0;320.0;5.0;5.0;21.0;22.0
1.0;0101;11.0;2019.0;10.0;10.0;2019.0;1.0;0101;36.0;37.0;4.0;4.0;320.0;320.0;5.0;9.0;21.0;22.0
1.0;0106;7.0;2019.0;21.0;5.0;2019.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;1020.0;9.0;9.0;21.0;22.0
9.0;0901;7.0;2019.0;25.0;4.0;2019.0;9.0;0901;38.0;29.0;4.0;9.0;484.0;320.0;5.0;5.0;22.0;22.0
4.0;0414;10.0;2019.0;15.0;8.0;2019.0;4.0;0414;33.0;28.0;4.0;9.0;320.0;320.0;5.0;5.0;22.0;22.0
9.0;0901;5.0;2019.0;23.0;5.0;2019.0;9.0;0901;32.0;32.0;4.0;4.0;320.0;320.0;5.0;5.0;22.0;22.0
3.0;0301;4.0;2019.0;22.0;4.0;2019.0;3.0;0301;41.0;36.0;4.0;4.0;320.0;320.0;5.0;5.0;22.0;22.0
5.0;0504;5.0;2019.0;25.0;2.0;2019.0;5.0;0502;26.0;27.0;4.0;4.0;320.0;320.0;5.0;5.0;22.0;22.0
22.0;2201;7.0;2019.0;10.0;7.0;2019.0;1.0;0101;32.0;28.0;4.0;4.0;320.0;320.0;5.0;5.0;22.0;22.0
22.0;2201;9.0;2019.0;15.0;7.0;2019.0;22.0;2201;37.0;34.0;4.0;4.0;320.0;320.0;5.0;5.0;22.0;22.0
9.0;0901;9.0;2019.0;7.0;8.0;2019.0;12.0;1201;33.0;35.0;1.0;4.0;320.0;320.0;5.0;5.0;22.0;22.0
9.0;0901;10.0;2019.0;1.0;10.0;2019.0;9.0;0923;38.0;32.0;4.0;4.0;320.0;320.0;5.0;5.0;22.0;22.0
9.0;0901;11.0;2019.0;18.0;9.0;2019.0;9.0;0920;33.0;32.0;4.0;4.0;320.0;320.0;5.0;5.0;22.0;22.0
1.0;0101;2.0;2020.0;9.0;1.0;2019.0;1.0;0101;38.0;35.0;4.0;4.0;320.0;320.0;5.0;5.0;22.0;22.0
1.0;0101;1.0;2020.0;6.0;9.0;2019.0;1.0;0101;31.0;34.0;4.0;4.0;320.0;320.0;5.0;5.0;22.0;22.0
1.0;0114;4.0;2019.0;12.0;2.0;2019.0;1.0;0114;57.0;57.0;4.0;4.0;320.0;320.0;5.0;5.0;22.0;22.0
