DEPREG;MUPREG;MESREG;AÑOREG;DIAOCU;MESOCU;AÑOOCU;DEPOCU;MUPOCU;EDADHOM;EDADMUJ;PUEHOM;PUEMUJ;NACHOM;NACMUJ;ESCHOM;ESCMUJ;CIUOHOM;CIUOMUJ
1.0;0101;8.0;2015.0;17.0;7.0;2015.0;13.0;1301;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;23.0
1.0;0101;6.0;2016.0;29.0;7.0;2015.0;1.0;0101;999.0;999.0;9.0;9.0;840.0;320.0;1.0;9.0;99.0;41.0
19.0;1901;2.0;2016.0;8.0;7.0;2015.0;19.0;1901;46.0;40.0;4.0;4.0;320.0;320.0;1.0;9.0;99.0;98.0
1.0;0101;2.0;2016.0;22.0;12.0;2015.0;1.0;0115;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;98.0
22.0;2204;2.0;2015.0;3.0;2.0;2015.0;22.0;2206;999.0;999.0;4.0;4.0;320.0;320.0;1.0;9.0;99.0;99.0
1.0;0101;6.0;2016.0;14.0;10.0;2015.0;22.0;2201;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
22.0;2201;2.0;2015.0;7.0;1.0;2015.0;22.0;2201;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
21.0;2101;9.0;2015.0;17.0;7.0;2015.0;21.0;2104;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
1.0;0101;11.0;2015.0;13.0;7.0;2015.0;21.0;2102;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
21.0;2101;12.0;2015.0;28.0;10.0;2015.0;21.0;2102;33.0;999.0;4.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
20.0;2007;1.0;2016.0;11.0;11.0;2015.0;20.0;2007;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
20.0;2007;11.0;2015.0;14.0;9.0;2015.0;20.0;2007;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
20.0;2007;9.0;2015.0;27.0;7.0;2015.0;20.0;2007;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
1.0;0101;7.0;2015.0;14.0;5.0;2015.0;19.0;1909;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
