DEPREG;MUPREG;MESREG;AÑOREG;DIAOCU;MESOCU;AÑOOCU;DEPOCU;MUPOCU;EDADHOM;EDADMUJ;PPERHOM;PPERMUJ;NACHOM;NACMUJ;ESCHOM;ESCMUJ;CIUOHOM;CIUOMUJ
8.0;0801;12.0;2017.0;4.0;12.0;2017.0;8.0;0801;47.0;999.0;9.0;9.0;320.0;320.0;1.0;1.0;99.0;99.0
1.0;0101;9.0;2017.0;5.0;8.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;99.0;3.0
1.0;0101;7.0;2017.0;23.0;5.0;2017.0;1.0;0101;33.0;31.0;4.0;4.0;188.0;320.0;9.0;9.0;52.0;11.0
1.0;0101;10.0;2017.0;7.0;7.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;26.0;12.0
1.0;0101;12.0;2017.0;20.0;7.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;21.0;21.0
1.0;0101;1.0;2018.0;26.0;10.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;12.0;21.0
1.0;0104;10.0;2017.0;10.0;8.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;21.0;21.0
1.0;0101;10.0;2017.0;15.0;6.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;22.0;22.0
1.0;0101;1.0;2018.0;24.0;8.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;22.0;22.0
1.0;0101;8.0;2017.0;20.0;3.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;97.0;22.0
1.0;0101;6.0;2017.0;20.0;2.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;222.0;9.0;9.0;22.0;22.0
1.0;0101;1.0;2018.0;16.0;6.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;97.0;23.0
5.0;0510;11.0;2017.0;3.0;11.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;22.0;23.0
16.0;1601;4.0;2018.0;21.0;9.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;43.0;23.0
1.0;0101;6.0;2017.0;11.0;4.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;43.0;23.0
2.0;0201;12.0;2017.0;8.0;11.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;840.0;320.0;9.0;9.0;43.0;23.0
1.0;0101;4.0;2017.0;26.0;1.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;97.0;23.0
1.0;0101;7.0;2017.0;22.0;5.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;97.0;23.0
1.0;0101;4.0;2017.0;13.0;3.0;2017.0;1.0;0108;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;97.0;23.0
1.0;0101;1.0;2018.0;4.0;12.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;97.0;23.0
1.0;0101;2.0;2018.0;20.0;12.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;97.0;23.0
1.0;0101;9.0;2017.0;3.0;8.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;1.0;23.0
1.0;0101;8.0;2017.0;13.0;7.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;22.0;23.0
1.0;0101;7.0;2017.0;6.0;4.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;840.0;9.0;9.0;26.0;23.0
1.0;0101;9.0;2017.0;15.0;6.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;21.0;23.0
1.0;0101;4.0;2018.0;4.0;8.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;840.0;9.0;9.0;24.0;23.0
1.0;0101;8.0;2017.0;29.0;5.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;31.0;23.0
1.0;0101;5.0;2017.0;20.0;4.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;31.0;23.0
1.0;0101;3.0;2017.0;7.0;2.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;97.0;23.0
1.0;0115;4.0;2017.0;7.0;3.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;97.0;23.0
1.0;0101;8.0;2017.0;12.0;6.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;97.0;23.0
1.0;0101;1.0;2018.0;19.0;12.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;97.0;23.0
1.0;0101;5.0;2018.0;17.0;8.0;2017.0;1.0;0115;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;97.0;23.0
4.0;0401;10.0;2017.0;28.0;9.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;72.0;23.0
1.0;0101;10.0;2017.0;27.0;4.0;2017.0;1.0;0113;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;12.0;24.0
1.0;0101;3.0;2018.0;17.0;11.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;26.0;24.0
1.0;0101;6.0;2018.0;30.0;11.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;26.0;26.0
1.0;0101;10.0;2017.0;7.0;8.0;2017.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;34.0;26.0
