DEPREG;MUPREG;MESREG;AÑOREG;DIAOCU;MESOCU;AÑOOCU;DEPOCU;MUPOCU;EDADHOM;EDADMUJ;PPERHOM;PPERMUJ;NACHOM;NACMUJ;ESCHOM;ESCMUJ;CIUOHOM;CIUOMUJ
1.0;0101;12.0;2016.0;3.0;11.0;2016.0;1.0;0101;999.0;999.0;9.0;9.0;32.0;320.0;9.0;9.0;98.0;23.0
1.0;0101;8.0;2016.0;17.0;5.0;2016.0;1.0;0101;58.0;999.0;9.0;9.0;32.0;320.0;9.0;9.0;98.0;98.0
17.0;1701;8.0;2016.0;11.0;8.0;2016.0;1.0;0101;61.0;53.0;9.0;9.0;32.0;320.0;0.0;0.0;99.0;99.0
1.0;0101;3.0;2017.0;7.0;10.0;2016.0;1.0;0101;39.0;38.0;9.0;4.0;40.0;320.0;9.0;4.0;52.0;26.0
19.0;1905;2.0;2017.0;23.0;11.0;2016.0;2.0;0207;999.0;999.0;9.0;9.0;152.0;320.0;9.0;9.0;72.0;98.0
1.0;0101;10.0;2016.0;18.0;3.0;2016.0;1.0;0101;999.0;999.0;9.0;9.0;152.0;320.0;9.0;9.0;99.0;99.0
1.0;0101;7.0;2016.0;11.0;4.0;2016.0;1.0;0101;54.0;28.0;9.0;4.0;170.0;320.0;9.0;3.0;99.0;52.0
1.0;0101;2.0;2017.0;6.0;12.0;2016.0;1.0;0101;999.0;999.0;9.0;9.0;170.0;320.0;9.0;9.0;26.0;98.0
1.0;0101;9.0;2016.0;29.0;8.0;2016.0;1.0;0101;27.0;28.0;9.0;4.0;170.0;320.0;9.0;4.0;34.0;98.0
1.0;0101;4.0;2016.0;8.0;1.0;2016.0;1.0;0101;37.0;37.0;9.0;4.0;170.0;643.0;9.0;0.0;99.0;99.0
1.0;0101;9.0;2016.0;6.0;4.0;2016.0;1.0;0101;999.0;999.0;9.0;9.0;188.0;320.0;9.0;9.0;98.0;21.0
1.0;0101;5.0;2016.0;17.0;3.0;2016.0;1.0;0101;999.0;54.0;9.0;9.0;188.0;170.0;9.0;9.0;98.0;41.0
1.0;0101;1.0;2017.0;25.0;7.0;2016.0;1.0;0101;50.0;43.0;4.0;4.0;188.0;320.0;4.0;4.0;98.0;44.0
1.0;0101;10.0;2016.0;8.0;6.0;2016.0;1.0;0101;999.0;999.0;9.0;9.0;188.0;320.0;9.0;9.0;98.0;51.0
1.0;0101;2.0;2017.0;19.0;9.0;2016.0;1.0;0101;62.0;999.0;9.0;9.0;188.0;320.0;9.0;9.0;52.0;98.0
1.0;0101;3.0;2016.0;21.0;1.0;2016.0;1.0;0108;999.0;42.0;9.0;4.0;192.0;320.0;9.0;4.0;32.0;22.0
12.0;1215;12.0;2016.0;27.0;6.0;2016.0;1.0;0101;20.0;23.0;9.0;4.0;192.0;320.0;9.0;3.0;98.0;98.0
22.0;2201;4.0;2016.0;5.0;4.0;2016.0;18.0;1803;999.0;999.0;9.0;9.0;192.0;320.0;9.0;9.0;99.0;99.0
1.0;0101;1.0;2017.0;6.0;10.0;2016.0;1.0;0101;999.0;999.0;9.0;9.0;192.0;320.0;0.0;9.0;99.0;99.0
1.0;0101;4.0;2016.0;15.0;3.0;2016.0;1.0;0101;999.0;999.0;9.0;9.0;208.0;320.0;9.0;9.0;98.0;21.0
1.0;0101;11.0;2016.0;1.0;9.0;2016.0;1.0;0101;39.0;37.0;9.0;4.0;222.0;320.0;9.0;3.0;31.0;44.0
1.0;0101;9.0;2016.0;22.0;7.0;2016.0;1.0;0101;66.0;47.0;9.0;9.0;222.0;320.0;9.0;9.0;43.0;41.0
1.0;0101;12.0;2016.0;3.0;8.0;2016.0;1.0;0101;999.0;999.0;9.0;9.0;222.0;320.0;9.0;9.0;98.0;41.0
18.0;1801;3.0;2016.0;18.0;2.0;2016.0;18.0;1802;59.0;56.0;4.0;4.0;222.0;320.0;9.0;9.0;75.0;98.0
22.0;2202;6.0;2016.0;4.0;5.0;2016.0;22.0;2202;61.0;46.0;4.0;4.0;222.0;320.0;9.0;1.0;92.0;98.0
1.0;0101;10.0;2016.0;22.0;7.0;2016.0;1.0;0115;26.0;29.0;4.0;4.0;222.0;320.0;9.0;3.0;98.0;98.0
1.0;0101;8.0;2016.0;23.0;5.0;2016.0;1.0;0101;999.0;999.0;9.0;9.0;222.0;320.0;9.0;9.0;98.0;98.0
1.0;0101;4.0;2016.0;15.0;2.0;2016.0;1.0;0101;36.0;37.0;9.0;4.0;222.0;320.0;9.0;5.0;98.0;98.0
1.0;0115;3.0;2016.0;17.0;2.0;2016.0;1.0;0115;30.0;26.0;4.0;4.0;222.0;320.0;9.0;9.0;98.0;98.0
1.0;0101;2.0;2017.0;19.0;12.0;2016.0;1.0;0101;999.0;999.0;9.0;9.0;222.0;320.0;9.0;9.0;98.0;98.0
1.0;0101;11.0;2016.0;13.0;4.0;2016.0;3.0;0301;44.0;999.0;4.0;9.0;222.0;320.0;4.0;9.0;33.0;99.0
5.0;0503;2.0;2017.0;21.0;11.0;2016.0;5.0;0503;999.0;999.0;4.0;9.0;222.0;320.0;3.0;9.0;98.0;99.0
20.0;2011;12.0;2016.0;3.0;11.0;2016.0;1.0;0101;999.0;999.0;9.0;9.0;222.0;320.0;9.0;9.0;99.0;99.0
20.0;2009;8.0;2016.0;1.0;4.0;2016.0;20.0;2009;999.0;999.0;9.0;9.0;222.0;320.0;9.0;9.0;99.0;99.0
1.0;0101;9.0;2016.0;6.0;7.0;2016.0;1.0;0101;51.0;42.0;9.0;4.0;276.0;320.0;9.0;4.0;99.0;12.0
1.0;0101;3.0;2017.0;22.0;7.0;2016.0;1.0;0101;999.0;999.0;9.0;9.0;276.0;320.0;9.0;9.0;73.0;51.0
1.0;0101;2.0;2017.0;21.0;10.0;2016.0;1.0;0101;999.0;999.0;9.0;9.0;276.0;222.0;9.0;9.0;26.0;98.0
1.0;0101;3.0;2017.0;29.0;11.0;2016.0;1.0;0101;999.0;999.0;9.0;9.0;276.0;320.0;9.0;9.0;98.0;98.0
